hazard_density,hazard_density_seed,episode,episode_variant,controller,scenario_id,scenario_name,mode,frame_id,step,row,col,event_type,event_value
high,23230,1692,19,ppo_shield,baseline_open,Baseline Open,mono,0020,117,38,36,shield_intervention,obstacle_risk
high,23230,1692,19,ppo_shield,baseline_open,Baseline Open,mono,0020,118,37,35,shield_intervention,loop_prevention
high,23230,1692,19,ppo_shield,baseline_open,Baseline Open,mono,0020,121,38,36,shield_intervention,obstacle_risk
high,23230,1692,19,ppo_shield,baseline_open,Baseline Open,mono,0020,122,38,35,shield_intervention,loop_prevention
high,23230,1692,19,ppo_shield,baseline_open,Baseline Open,mono,0020,123,38,36,shield_intervention,lookahead_safer
high,23230,1692,19,ppo_shield,baseline_open,Baseline Open,mono,0020,125,38,36,shield_intervention,obstacle_risk
high,23230,1692,19,ppo_shield,baseline_open,Baseline Open,mono,0020,127,38,36,shield_intervention,obstacle_risk
high,23230,1692,19,ppo_shield,baseline_open,Baseline Open,mono,0020,128,37,35,shield_intervention,loop_prevention
high,23230,1692,19,ppo_shield,baseline_open,Baseline Open,mono,0020,131,38,36,shield_intervention,obstacle_risk
high,23230,1692,19,ppo_shield,baseline_open,Baseline Open,mono,0020,132,38,35,shield_intervention,loop_prevention
high,23230,1692,19,ppo_shield,baseline_open,Baseline Open,mono,0020,133,38,36,shield_intervention,lookahead_safer
high,23230,1692,19,ppo_shield,baseline_open,Baseline Open,mono,0020,135,38,36,shield_intervention,obstacle_risk
high,23230,1692,19,ppo_shield,baseline_open,Baseline Open,mono,0020,137,38,36,shield_intervention,obstacle_risk
high,23230,1692,19,ppo_shield,baseline_open,Baseline Open,mono,0020,138,37,35,shield_intervention,loop_prevention
high,23230,1692,19,ppo_shield,baseline_open,Baseline Open,mono,0020,141,38,36,shield_intervention,obstacle_risk
high,23230,1692,19,ppo_shield,baseline_open,Baseline Open,mono,0020,142,38,35,shield_intervention,loop_prevention
high,23230,1692,19,ppo_shield,baseline_open,Baseline Open,mono,0020,143,38,36,shield_intervention,lookahead_safer
high,23230,1692,19,ppo_shield,baseline_open,Baseline Open,mono,0020,145,38,36,shield_intervention,obstacle_risk
high,23230,1692,19,ppo_shield,baseline_open,Baseline Open,mono,0020,147,38,36,shield_intervention,obstacle_risk
high,23230,1692,19,ppo_shield,baseline_open,Baseline Open,mono,0020,148,37,35,shield_intervention,loop_prevention
high,23230,1692,19,ppo_shield,baseline_open,Baseline Open,mono,0020,151,38,36,shield_intervention,obstacle_risk
high,23230,1692,19,ppo_shield,baseline_open,Baseline Open,mono,0020,152,38,35,shield_intervention,loop_prevention
high,23230,1692,19,ppo_shield,baseline_open,Baseline Open,mono,0020,153,38,36,shield_intervention,lookahead_safer
high,23230,1692,19,ppo_shield,baseline_open,Baseline Open,mono,0020,155,38,36,shield_intervention,obstacle_risk
high,23230,1692,19,ppo_shield,baseline_open,Baseline Open,mono,0020,157,38,36,shield_intervention,obstacle_risk
high,23230,1692,19,ppo_shield,baseline_open,Baseline Open,mono,0020,158,37,35,shield_intervention,loop_prevention
high,23230,1692,19,ppo_shield,baseline_open,Baseline Open,mono,0020,161,38,36,shield_intervention,obstacle_risk
high,23230,1692,19,ppo_shield,baseline_open,Baseline Open,mono,0020,162,38,35,shield_intervention,loop_prevention
high,23230,1692,19,ppo_shield,baseline_open,Baseline Open,mono,0020,163,38,36,shield_intervention,lookahead_safer
high,23230,1692,19,ppo_shield,baseline_open,Baseline Open,mono,0020,165,38,36,shield_intervention,obstacle_risk
high,23230,1692,19,ppo_shield,baseline_open,Baseline Open,mono,0020,167,38,36,shield_intervention,obstacle_risk
high,23230,1692,19,ppo_shield,baseline_open,Baseline Open,mono,0020,168,37,35,shield_intervention,loop_prevention
high,23230,1692,19,ppo_shield,baseline_open,Baseline Open,mono,0020,171,38,36,shield_intervention,obstacle_risk
high,23230,1692,19,ppo_shield,baseline_open,Baseline Open,mono,0020,172,38,35,shield_intervention,loop_prevention
high,23230,1692,19,ppo_shield,baseline_open,Baseline Open,mono,0020,173,38,36,shield_intervention,lookahead_safer
